Protein1,Protein2,Level
CDH17,KDR,Level_02
CDH17,PSEN1,Level_02
CDH17,CTNNA2,Level_02
CDH17,CTNNA1,Level_02
CDH17,NECTIN1,Level_02
CDH17,KLRG1,Level_02
CDH17,TJP1,Level_02
MYOC,CYP1B1,Level_02
MYOC,OPTN,Level_02
MYOC,WDR36,Level_02
MYOC,OLFM3,Level_02
OTC,ARG1,Level_02
OTC,ACY1,Level_02
OTC,ARG2,Level_02
OTC,NAGS,Level_02
OTC,GBE1,Level_02
OTC,NOS1,Level_02
OTC,NOS2,Level_02
OTC,CAD,Level_02
OTC,NOS3,Level_02
OTC,OAT,Level_02
OTC,CPS1,Level_02
OTC,ASL,Level_02
MRI1,ENOPH1,Level_02
MRI1,MTAP,Level_02
MRI1,APIP,Level_02
RTN4R,OMG,Level_02
RTN4R,NGFR,Level_02
RTN4R,LINGO1,Level_02
RTN4R,ANPEP,Level_02
RTN4R,TNFRSF19,Level_02
PSMA4,PSME2,Level_02
PSMA4,UBC,Level_02
PSMA4,DESI1,Level_02
PSMA4,CHRNA3,Level_02
PSMA4,CHRNB4,Level_02
PSMA4,AKIRIN2,Level_02
PSMA4,PSMA8,Level_02
PSMA4,PSMD13,Level_02
PSMA4,CHRNA5,Level_02
PSMA4,RPS27A,Level_02
PSMA4,UBQLN4,Level_02
PSMA4,PSME1,Level_02
PSMA4,ADRM1,Level_02
PSMA4,UCHL5,Level_02
PSMA4,PSMF1,Level_02
PSMA4,PSMB10,Level_02
PSMA4,UBB,Level_02
PSMA4,PSMG2,Level_02
PSMA4,PSMD3,Level_02
PSMA4,USP14,Level_02
PSMA4,PSME4,Level_02
PSMA4,UBA52,Level_02
LCP2,CD247,Level_02
LCP2,FYN,Level_02
LCP2,TYROBP,Level_02
LCP2,NCK2,Level_02
LCP2,RABIF,Level_02
LCP2,TEC,Level_02
LCP2,MAP4K1,Level_02
LCP2,PTPN11,Level_02
LCP2,PTPN6,Level_02
LCP2,LYN,Level_02
LCP2,PTPRC,Level_02
LCP2,RAP1B,Level_02
LCP2,BLNK,Level_02
LCP2,PLCG2,Level_02
LCP2,SOS1,Level_02
LCP2,RAP1A,Level_02
LCP2,SHC1,Level_02
LCP2,GRAP,Level_02
LCP2,SRC,Level_02
LCP2,RANGAP1,Level_02
LCP2,CBL,Level_02
LCP2,SKAP1,Level_02
LCP2,VAV2,Level_02
LCP2,WAS,Level_02
DCN,FGF7,Level_02
DCN,ACAN,Level_02
DCN,ERBB2,Level_02
DCN,TLR4,Level_02
DCN,MFAP2,Level_02
DCN,VCAN,Level_02
DCN,FGF8,Level_02
DCN,VTN,Level_02
DCN,SDC1,Level_02
DCN,FGF22,Level_02
DCN,LUM,Level_02
DCN,ERBB4,Level_02
DCN,FGF9,Level_02
DCN,CCN2,Level_02
DCN,FN1,Level_02
DCN,FGF18,Level_02
DCN,BGN,Level_02
DCN,TLR2,Level_02
DCN,FGF6,Level_02
DCN,KDR,Level_02
DCN,COL1A2,Level_02
DCN,FGF20,Level_02
DCN,EGF,Level_02
DCN,FGF3,Level_02
DCN,YBX1,Level_02
DCN,MET,Level_02
DCN,COL3A1,Level_02
DCN,YBX3,Level_02
DCN,FGF4,Level_02
DCN,ELN,Level_02
DCN,FMOD,Level_02
DCN,COL14A1,Level_02
DCN,P3H3,Level_02
DCN,COL1A1,Level_02
DCN,HSPG2,Level_02
DCN,TGFB3,Level_02
DCN,IGF1,Level_02
DCN,FGF16,Level_02
DCN,FGF10,Level_02
TNFRSF17,TNFSF13,Level_02
TNFRSF17,TNFRSF13B,Level_02
TNFRSF17,TNFRSF13C,Level_02
MRPS10,MRPS23,Level_02
MRPS10,UBA52,Level_02
MRPS10,RPS6,Level_02
MRPS10,MRPS28,Level_02
MRPS10,HIBCH,Level_02
MRPS10,RPS15,Level_02
MRPS10,RPS2,Level_02
MRPS10,MRPS24,Level_02
MRPS10,MRPL17,Level_02
MRPS10,RPS8,Level_02
MRPS10,RPL37A,Level_02
MRPS10,RPS10-NUDT3,Level_02
MRPS10,RPL24,Level_02
MRPS10,MRPL51,Level_02
MRPS10,MTIF3,Level_02
MRPS10,CCDC105,Level_02
MRPS10,MRPS33,Level_02
MRPS10,MRPS25,Level_02
MRPS10,MRPL21,Level_02
MRPS10,RPL23A,Level_02
MRPS10,MED1,Level_02
MRPS10,RPS25,Level_02
MRPS10,MRPS31,Level_02
MRPS10,MRPL12,Level_02
MRPS10,MRPS22,Level_02
MRPS10,RPS5,Level_02
MRPS10,RPS28,Level_02
MRPS10,MRPL33,Level_02
MRPS10,MRPS18A,Level_02
MRPS10,RPS7,Level_02
MRPS10,POLR1C,Level_02
MRPS10,RPLP1,Level_02
MRPS10,POLR2C,Level_02
MRPS10,RPS17,Level_02
