Protein1,Protein2,Level
PSMD4,PSMB10,Level_02
PSMD4,TXNL1,Level_02
PSMD4,UBB,Level_02
PSMD4,PSMB5,Level_02
PSMD4,VCP,Level_02
PSMD4,ECPAS,Level_02
PSMD4,PRKN,Level_02
PIP5K1A,PIK3C2G,Level_02
PIP5K1A,PIP5K1C,Level_02
PIP5K1A,ARF6,Level_02
PIP5K1A,PIK3R2,Level_02
PIP5K1A,PIP4K2A,Level_02
PIP5K1A,RHOA,Level_02
PIP5K1A,PTEN,Level_02
PIP5K1A,PIK3R3,Level_02
PIP5K1A,PIP5K1B,Level_02
PIP5K1A,PIK3R1,Level_02
PIP5K1A,RAC3,Level_02
PIP5K1A,PI4K2B,Level_02
PIP5K1A,OCRL,Level_02
PIP5K1A,SYNJ2,Level_02
PIP5K1A,PI4K2A,Level_02
PIP5K1A,RAC2,Level_02
PIP5K1A,INPP5E,Level_02
PIP5K1A,PIP4K2C,Level_02
PIP5K1A,PIK3C2A,Level_02
PIP5K1A,PIK3CD,Level_02
PIP5K1A,PIK3CG,Level_02
PIP5K1A,PIK3CA,Level_02
PIP5K1A,SYNJ1,Level_02
PIP5K1A,ROCK1,Level_02
PIP5K1A,ACTB,Level_02
PIP5K1A,PIP5KL1,Level_02
PIP5K1A,PI4KA,Level_02
PIP5K1A,PIP4K2B,Level_02
PIP5K1A,PIK3CB,Level_02
PIP5K1A,PI4KB,Level_02
PIP5K1A,INPP5B,Level_02
PIP5K1A,PIK3C2B,Level_02
CDC40,SNRNP200,Level_02
CDC40,PRPF38A,Level_02
CDC40,SNIP1,Level_02
CDC40,SF3B3,Level_02
CDC40,SNRPN,Level_02
CDC40,BUD13,Level_02
CDC40,NKAP,Level_02
CDC40,SRRM2,Level_02
CDC40,TFIP11,Level_02
CDC40,ISY1,Level_02
CDC40,UBL5,Level_02
CDC40,PHF5A,Level_02
CDC40,SF3B2,Level_02
CDC40,SNRPB,Level_02
CDC40,CWF19L2,Level_02
CDC40,PPWD1,Level_02
CDC40,SRRM1,Level_02
CDC40,YJU2,Level_02
CDC40,ISY1-RAB43,Level_02
CDC40,PRKRIP1,Level_02
CDC40,SDE2,Level_02
CDC40,FAM32A,Level_02
CDC40,SNRPB2,Level_02
CDC40,PPIG,Level_02
CDC40,PPIE,Level_02
CDC40,PPIL2,Level_02
CDC40,MAGOH,Level_02
CDC40,MFAP1,Level_02
CDC40,SF3B5,Level_02
CDC40,RBM8A,Level_02
CDC40,RNF113A,Level_02
CDC40,SF3A2,Level_02
CDC40,PRPF18,Level_02
CDC40,EIF4A3,Level_02
CDC40,CACTIN,Level_02
CDC40,SF3A1,Level_02
CDC40,NCBP2,Level_02
CDC40,CCDC12,Level_02
CDC40,ZMAT2,Level_02
CDC40,CCDC130,Level_02
CDC40,SF3B1,Level_02
CDC40,SF3A3,Level_02
CDC40,MAGOHB,Level_02
CDC40,RBMX2,Level_02
CDC40,HTATSF1,Level_02
CDC40,CWC27,Level_02
CDC40,SF3B4,Level_02
CDC40,DHX16,Level_02
CDC40,NCBP1,Level_02
CDC40,CWC25,Level_02
CTSS,CSTA,Level_02
CTSS,BCL2L1,Level_02
CTSS,BCL2,Level_02
CTSS,CD74,Level_02
CTSS,CREB1,Level_02
CTSS,BID,Level_02
CTSS,MPO,Level_02
CTSS,LGMN,Level_02
CTSS,CST3,Level_02
CTSS,CTSB,Level_02
CTSS,IL10RA,Level_02
CTSS,IL10RB,Level_02
MCL1,BBC3,Level_02
MCL1,BMF,Level_02
MCL1,RTL10,Level_02
MCL1,HUWE1,Level_02
MCL1,VDAC1,Level_02
MCL1,BAK1,Level_02
MCL1,GZMB,Level_02
MCL1,BCL2L2,Level_02
MCL1,BCL2L1,Level_02
MCL1,BECN1,Level_02
MCL1,USP9X,Level_02
MCL1,BIK,Level_02
MCL1,BOK,Level_02
MCL1,HRK,Level_02
MCL1,BID,Level_02
MCL1,FBXW7,Level_02
MCL1,TNKS2,Level_02
MCL1,ATG12,Level_02
MCL1,TP53,Level_02
SEC23IP,SEC13,Level_02
SEC23IP,SEC31A,Level_02
ATG5,STX17,Level_02
ATG5,NOD2,Level_02
ATG5,ATG101,Level_02
ATG5,ATG4B,Level_02
ATG5,PIK3R4,Level_02
ATG5,ATG10,Level_02
ATG5,VIPR1,Level_02
ATG5,IRGM,Level_02
ATG5,ATG13,Level_02
ATG5,FADD,Level_02
ATG5,WDFY3,Level_02
ATG5,ATG14,Level_02
ATG5,PIK3C3,Level_02
ATG5,IFIH1,Level_02
ATG5,MAP1LC3A,Level_02
ATG5,SQSTM1,Level_02
ATG5,TUFM,Level_02
ATG5,WIPI2,Level_02
ATG5,CASP8,Level_02
ATG5,MAP1LC3B,Level_02
ATG5,GABARAP,Level_02
ATG5,RB1CC1,Level_02
ATG5,ULK1,Level_02
ATG5,BECN1,Level_02
ATG5,RAB33B,Level_02
ATG5,ULK2,Level_02
ATG5,SIRT1,Level_02
ATG5,BCL2L1,Level_02
BAG3,HSPB1,Level_02
BAG3,HSPB6,Level_02
BAG3,HSF1,Level_02
BAG3,SQSTM1,Level_02
BAG3,HSP90AB1,Level_02
BAG3,CRYAB,Level_02
BAG3,BAG1,Level_02
BAG3,DNAJB6,Level_02
BAG3,BCL2,Level_02
BAG3,FLNC,Level_02
BAG3,HSPA1B,Level_02
BAG3,BAG2,Level_02
TIAL1,G3BP1,Level_02
TIAL1,ELAVL1,Level_02
TIAL1,TIA1,Level_02
PRDM1,STAT3,Level_02
PRDM1,EHMT2,Level_02
PRDM1,IRF4,Level_02
APH1A,APP,Level_02
APH1A,APH1B,Level_02
APH1A,NOTCH1,Level_02
APH1A,TMED10,Level_02
EIF3A,RPS10,Level_02
EIF3A,RPS24,Level_02
EIF3A,RPS21,Level_02
EIF3A,RPS18,Level_02
EIF3A,RPS16,Level_02
EIF3A,RPS12,Level_02
EIF3A,RPS19,Level_02
EIF3A,RPSA,Level_02
EIF3A,RACK1,Level_02
EIF3A,RPS7,Level_02
EIF3A,RPS4X,Level_02
EIF3A,RPS28,Level_02
EIF3A,RPS5,Level_02
EIF3A,RPS17,Level_02
EIF3A,EIF4A1,Level_02
EIF3A,EIF1B,Level_02
EIF3A,RPS2,Level_02
EIF3A,RPS15,Level_02
EIF3A,RPS8,Level_02
EIF3A,EIF5,Level_02
EIF3A,EIF2S3,Level_02
EIF3A,RPS6,Level_02
EIF3A,RPS25,Level_02
EIF3A,RPS20,Level_02
EIF3A,EIF2S2,Level_02
EIF3A,RPS27,Level_02
EIF3A,ABCE1,Level_02
EIF3A,RPS11,Level_02
EIF3A,RPS29,Level_02
EIF3A,EIF1AX,Level_02
EIF3A,RPS26,Level_02
EIF3A,EIF4G1,Level_02
EIF3A,RPS9,Level_02
EIF3A,RPS23,Level_02
EIF3A,EIF1,Level_02
EIF3A,RPS14,Level_02
EIF3A,RPS15A,Level_02
EIF3A,RPS13,Level_02
EIF3A,RPS3A,Level_02
EIF3A,RPS27A,Level_02
EIF3A,RPS3,Level_02
EIF3A,FAU,Level_02
EIF3A,EIF1AY,Level_02
SV2A,SYT1,Level_02
SV2A,SYP,Level_02
H2BC21,H4C11,Level_02
H2BC21,H3C6,Level_02
H2BC21,H4C8,Level_02
H2BC21,H2BC8,Level_02
H2BC21,RNF40,Level_02
H2BC21,SETD2,Level_02
H2BC21,RCC1,Level_02
H2BC21,SUPT16H,Level_02
H2BC21,hCG_2039566,Level_02
H2BC21,H2AC4,Level_02
H2BC21,H3-2,Level_02
H2BC21,H2BC12,Level_02
H2BC21,BARD1,Level_02
H2BC21,H1-5,Level_02
H2BC21,H2AZ2,Level_02
H2BC21,H4C7,Level_02
H2BC21,EP300,Level_02
H2BC21,H3-3A,Level_02
H2BC21,H2BC17,Level_02
H2BC21,H2BC7,Level_02
H2BC21,RNF20,Level_02
H2BC21,USP22,Level_02
H2BC21,H4C5,Level_02
H2BC21,H2AB3,Level_02
H2BC21,H2AC6,Level_02
H2BC21,H2AJ,Level_02
H2BC21,H2AC15,Level_02
H2BC21,H1-1,Level_02
H2BC21,H2BC11,Level_02
H2BC21,H2BC4,Level_02
H2BC21,H2BC6,Level_02
H2BC21,H2AC7,Level_02
H2BC21,BRCA1,Level_02
H2BC21,H3C3,Level_02
H2BC21,UBA52,Level_02
H2BC21,H4-16,Level_02
H2BC21,H2AC13,Level_02
H2BC21,H2BC10,Level_02
H2BC21,SMARCA4,Level_02
H2BC21,H2AX,Level_02
H2BC21,H2BC5,Level_02
H2BC21,H4C9,Level_02
H2BC21,H2AC8,Level_02
H2BC21,H4C2,Level_02
H2BC21,UBB,Level_02
H2BC21,H1-2,Level_02
H2BC21,ACTB,Level_02
H2BC21,H4C15,Level_02
H2BC21,H3-5,Level_02
H2BC21,PLG,Level_02
H2BC21,H3C4,Level_02
H2BC21,MACROH2A1,Level_02
H2BC21,H4C3,Level_02
H2BC21,H2AB2,Level_02
H2BC21,H2AC16,Level_02
H2BC21,H4C4,Level_02
H2BC21,H1-0,Level_02
H2BC21,H3C1,Level_02
H2BC21,VRK1,Level_02
H2BC21,HDAC2,Level_02
H2BC21,H2AC11,Level_02
H2BC21,H4C14,Level_02
H2BC21,CENPN,Level_02
H2BC21,UBC,Level_02
H2BC21,H3C10,Level_02
H2BC21,RPS27A,Level_02
H2BC21,CENPA,Level_02
H2BC21,H3C14,Level_02
H2BC21,H4C1,Level_02
H2BC21,DNMT3B,Level_02
H2BC21,SMARCA5,Level_02
H2BC21,SSRP1,Level_02
H2BC21,H2AC17,Level_02
H2BC21,SMARCB1,Level_02
H2BC21,H2AC1,Level_02
H2BC21,KAT2A,Level_02
H2BC21,H2BC9,Level_02
H2BC21,H4C12,Level_02
H2BC21,H4C13,Level_02
H2AC18,H4C11,Level_02
H2AC18,H2BC8,Level_02
H2AC18,H4C8,Level_02
H2AC18,H2AC21,Level_02
H2AC18,SGO1,Level_02
H2AC18,RCC1,Level_02
H2AC18,H2BC15,Level_02
H2AC18,SUPT16H,Level_02
H2AC18,H3-2,Level_02
H2AC18,H2BC12,Level_02
H2AC18,KAT5,Level_02
H2AC18,H2BC18,Level_02
H2AC18,H1-5,Level_02
H2AC18,H2BC17,Level_02
H2AC18,H2BC7,Level_02
H2AC18,H2AC6,Level_02
H2AC18,H4C5,Level_02
H2AC18,H2BC11,Level_02
H2AC18,H1-1,Level_02
H2AC18,H2BC4,Level_02
H2AC18,RING1,Level_02
H2AC18,H2BC6,Level_02
H2AC18,RNF2,Level_02
H2AC18,UBA52,Level_02
H2AC18,H4-16,Level_02
H2AC18,H2BC10,Level_02
H2AC18,H2AC13,Level_02
H2AC18,H2BC5,Level_02
H2AC18,H4C9,Level_02
H2AC18,RNF168,Level_02
H2AC18,SCML2,Level_02
H2AC18,UBB,Level_02
H2AC18,H4C2,Level_02
H2AC18,H2AC20,Level_02
H2AC18,H1-2,Level_02
H2AC18,H4C15,Level_02
H2AC18,H3-5,Level_02
H2AC18,H4C3,Level_02
H2AC18,JARID2,Level_02
H2AC18,H4C4,Level_02
H2AC18,H1-0,Level_02
H2AC18,UIMC1,Level_02
H2AC18,H2BC3,Level_02
H2AC18,CENPC,Level_02
H2AC18,H4C14,Level_02
H2AC18,UBC,Level_02
H2AC18,BMI1,Level_02
H2AC18,RPS27A,Level_02
H2AC18,CENPA,Level_02
H2AC18,H3C14,Level_02
H2AC18,CGAS,Level_02
H2AC18,H4C1,Level_02
H2AC18,SMARCA5,Level_02
H2AC18,H4C12,Level_02
H2AC18,H2BC9,Level_02
H2AC18,H3C15,Level_02
H2AC18,H4C13,Level_02
FCGR1A,FCGR3A,Level_02
FCGR1A,LYN,Level_02
FCGR1A,SYK,Level_02
FCGR1A,FCAR,Level_02
FCGR1A,HCK,Level_02
FCGR1A,IGF1,Level_02
FCGR1A,FCGR2A,Level_02
FCGR1A,SPI1,Level_02
FCGR1A,IGF2,Level_02
FCGR1A,LOC102723407,Level_02
FCGR1A,FCER1G,Level_02
SIM1,ARNT,Level_02
SIM1,ARNT2,Level_02
PNLIP,LIPF,Level_02
PNLIP,LIPG,Level_02
PNLIP,CTRB1,Level_02
PNLIP,LIPC,Level_02
PNLIP,CEL,Level_02
PNLIP,MGLL,Level_02
PNLIP,PNLIPRP1,Level_02
PNLIP,LPL,Level_02
PNLIP,PNPLA3,Level_02
PNLIP,PNPLA2,Level_02
UFL1,DDRGK1,Level_02
UFL1,UBA5,Level_02
UFL1,UFC1,Level_02
UFL1,UFM1,Level_02
ADRB1,POMC,Level_02
ADRB1,GNAS,Level_02
ADRB1,GNAI2,Level_02
ADRB1,GNAI1,Level_02
ADRB1,NPPA,Level_02
ADRB1,GIP,Level_02
ADRB1,GNAI3,Level_02
ADRB1,ADCYAP1,Level_02
ADRB1,VIP,Level_02
ADRB1,GCG,Level_02
ADRB1,ADRB2,Level_02
ADRB1,DLG4,Level_02
ADRB1,ARRB1,Level_02
EPHA7,EFNA2,Level_02
EPHA7,EFNA1,Level_02
EPHA7,EFNA3,Level_02
EPHA7,EFNA4,Level_02
EPHA7,NGEF,Level_02
EPHA7,ABL1,Level_02
EPHA7,EPHA3,Level_02
ITGA10,ITGAV,Level_02
ITGA10,ITGB3,Level_02
ITGA10,ITGB6,Level_02
ITGA10,ITGB1,Level_02
ITGA10,ITGA2,Level_02
ITGA10,ITGA11,Level_02
ITGA10,ITGB7,Level_02
ITGA10,ITGA5,Level_02
ITGA10,ITGB5,Level_02
ITGA10,ITGA4,Level_02
ITGA10,ITGA3,Level_02
ITGA10,ITGA1,Level_02
ITGA10,ITGB2,Level_02
ITGA10,ITGB8,Level_02
CASP7,ACTG1,Level_02
CASP7,DIABLO-2,Level_02
CASP7,BIRC7,Level_02
CASP7,APAF1,Level_02
CASP7,BIRC3,Level_02
CASP7,PARP2,Level_02
CASP7,GZMB,Level_02
CASP7,CASP9,Level_02
CASP7,HSPA5,Level_02
CASP7,VIM,Level_02
CASP7,PARP1,Level_02
CASP7,CASP3,Level_02
CASP7,ACTB,Level_02
CASP7,MAPT,Level_02
CASP7,BIRC2,Level_02
CASP7,CYCS,Level_02
CASP7,CASP8,Level_02
CASP7,CASP10,Level_02
MAP3K7,MAPK9,Level_02
MAP3K7,MAPK3,Level_02
MAP3K7,PRKAB2,Level_02
MAP3K7,PPM1B,Level_02
MAP3K7,PRKAG1,Level_02
MAP3K7,MAPK13,Level_02
MAP3K7,MAP2K7,Level_02
MAP3K7,MAP2K1,Level_02
MAP3K7,MAPK11,Level_02
MAP3K7,PRKAG3,Level_02
MAP3K7,MAPK8,Level_02
MAP3K7,TLR4,Level_02
MAP3K7,TLR3,Level_02
MAP3K7,MAP2K4,Level_02
MAP3K7,MAPK1,Level_02
MAP3K7,CARD11,Level_02
MAP3K7,BIRC3,Level_02
MAP3K7,IRAK4,Level_02
MAP3K7,XIAP,Level_02
MAP3K7,RIPK1,Level_02
MAP3K7,IRAK1,Level_02
MAP3K7,UBE2N,Level_02
MAP3K7,MAPK12,Level_02
MAP3K7,TRAF2,Level_02
MAP3K7,MAPK14,Level_02
MAP3K7,TRAF3,Level_02
MAP3K7,PRKCQ,Level_02
MAP3K7,MAP2K3,Level_02
MAP3K7,IKBKB,Level_02
MAP3K7,TRADD,Level_02
MAP3K7,BCL10,Level_02
MAP3K7,CHUK,Level_02
MAP3K7,MAVS,Level_02
MAP3K7,NLK,Level_02
MAP3K7,BIRC2,Level_02
MAP3K7,GSK3B,Level_02
MAP3K7,PRKAA1,Level_02
MAP3K7,MAP2K6,Level_02
MAP3K7,TRAF5,Level_02
MAP3K7,PRKAG2,Level_02
MAP3K7,MAP2K2,Level_02
MAP3K7,PRKAB1,Level_02
MAP3K7,MAP3K14,Level_02
HMGCS2,HADHB,Level_02
HMGCS2,HMGCL,Level_02
HMGCS2,ACAT2,Level_02
HMGCS2,CYP51A1,Level_02
HMGCS2,SQLE,Level_02
HMGCS2,ACAT1,Level_02
HMGCS2,FDFT1,Level_02
HMGCS2,ACAA2,Level_02
HMGCS2,HMGCLL1,Level_02
HMGCS2,OXCT2,Level_02
HMGCS2,FDPS,Level_02
HMGCS2,AACS,Level_02
HMGCS2,HMGCS1,Level_02
HMGCS2,ACAA1,Level_02
HMGCS2,EHHADH,Level_02
HMGCS2,OXCT1,Level_02
HMGCS2,AUH,Level_02
HSD3B1,CYP11B1,Level_02
HSD3B1,HSD17B3,Level_02
HSD3B1,CYP17A1,Level_02
HSD3B1,CYP21A2,Level_02
HSD3B1,SRD5A2,Level_02
HSD3B1,HSD3B2,Level_02
HSD3B1,HSD11B2,Level_02
HSD3B1,AKR1C1,Level_02
HSD3B1,CYP11B2,Level_02
HSD3B1,CYP1A2,Level_02
HSD3B1,SULT2B1,Level_02
HSD3B1,STS,Level_02
HSD3B1,CYP19A1,Level_02
HSD3B1,CYP3A4,Level_02
HSD3B1,CYP1A1,Level_02
HSD3B1,SRD5A3,Level_02
HSD3B1,AKR1D1,Level_02
HSD3B1,HSD17B8,Level_02
HSD3B1,HSD17B2,Level_02
HSD3B1,CYP11A1,Level_02
HSD3B1,SRD5A1,Level_02
HSD3B1,ENSP00000480571,Level_02
HSD3B1,CYP7A1,Level_02
HSD3B1,HSD11B1,Level_02
HSD3B1,HSD17B6,Level_02
HSD3B1,AKR1C3,Level_02
HSD3B1,CYP7B1,Level_02
HSD3B1,CYP3A5,Level_02
HSD3B1,CYP3A7,Level_02
HSD3B1,CYP2E1,Level_02
HSD3B1,FAU,Level_02
CD2,CD59,Level_02
CD2,CD2AP,Level_02
CD2,CD48,Level_02
CD2,CD5,Level_02
CD2,ICAM1,Level_02
CD2,CD53,Level_02
CD2,GZMA,Level_02
CD2,CD3D,Level_02
CD2,CD4,Level_02
CD2,CD3E,Level_02
CD2,CD7,Level_02
CD2,KLRB1,Level_02
CD2,PSTPIP1,Level_02
CD2,NCAM1,Level_02
CD2,CD6,Level_02
CD2,CD28,Level_02
CD2,CD3G,Level_02
CD2,ITGAL,Level_02
CD2,CD2BP2,Level_02
CD2,CD8A,Level_02
CD2,CD247,Level_02
CD2,FCGR3A,Level_02
CD2,CD19,Level_02
CD2,LCK,Level_02
CD58,ICAM1,Level_02
CD58,CD28,Level_02
CD58,CD80,Level_02
CNR1,GNAI2,Level_02
CNR1,GPR55,Level_02
CNR1,ADCY8,Level_02
CNR1,GNAI1,Level_02
CNR1,MGLL,Level_02
CNR1,GNB1,Level_02
CNR1,ADCY5,Level_02
CNR1,GNAI3,Level_02
CNR1,ADORA2A,Level_02
CNR1,DRD2,Level_02
CNR1,CNR2,Level_02
CNR1,GNG2,Level_02
CNR1,FAAH,Level_02
NGF,GFRA1,Level_02
NGF,NTF4,Level_02
NGF,SORT1,Level_02
NGF,TRPA1,Level_02
NGF,GDNF,Level_02
NGF,NTRK3,Level_02
NGF,SORCS2,Level_02
NRAS,GOLGA7,Level_02
NRAS,PLCE1,Level_02
NRAS,EGFR,Level_02
NRAS,RASGRP4,Level_02
NRAS,GNAI2,Level_02
NRAS,RPS6KA3,Level_02
NRAS,PIK3R2,Level_02
NRAS,PIK3R5,Level_02
NRAS,MAPK3,Level_02
NRAS,CDKN2A,Level_02
NRAS,RASGRF1,Level_02
NRAS,PIK3R1,Level_02
NRAS,CALML6,Level_02
NRAS,EML4,Level_02
NRAS,RGL2,Level_02
NRAS,MAPK8,Level_02
NRAS,CALML4,Level_02
NRAS,MET,Level_02
NRAS,RASGRP2,Level_02
NRAS,ZDHHC9,Level_02
NRAS,SOS2,Level_02
NRAS,FGFR1,Level_02
NRAS,PIK3CA,Level_02
NRAS,SOS1,Level_02
NRAS,ICAM1,Level_02
NRAS,IGF1R,Level_02
NRAS,RASSF1,Level_02
NRAS,ALK,Level_02
NRAS,RPS6KA1,Level_02
NRAS,RASGRP3,Level_02
NRAS,PIK3CB,Level_02
NRAS,SRC,Level_02
NRAS,FGFR3,Level_02
NRAS,RAPGEF2,Level_02
NRAS,RASA1,Level_02
NRAS,PTPN11,Level_02
NRAS,RALBP1,Level_02
NRAS,IFNGR1,Level_02
NRAS,RPS6KA2,Level_02
NRAS,ARAF,Level_02
NRAS,MAP2K1,Level_02
NRAS,GNAI1,Level_02
NRAS,MAPK9,Level_02
NRAS,RASSF5,Level_02
NRAS,CALML5,Level_02
NRAS,PRKCA,Level_02
NRAS,PIK3R3,Level_02
NRAS,RASGRP1,Level_02
NRAS,RASGRF2,Level_02
NRAS,CALML3,Level_02
NRAS,CALM3,Level_02
NRAS,FGFR2,Level_02
NRAS,RASA2,Level_02
NRAS,GNAI3,Level_02
NRAS,PDGFRA,Level_02
NRAS,MAPK1,Level_02
NRAS,KIT,Level_02
NRAS,KRAS,Level_02
NRAS,GNAQ,Level_02
NRAS,SYK,Level_02
NRAS,FGFR4,Level_02
NRAS,TIAM1,Level_02
NRAS,IL3RA,Level_02
NRAS,PIK3CG,Level_02
NRAS,PIK3CD,Level_02
NRAS,SHOC2,Level_02
NRAS,RIN1,Level_02
NRAS,PRKCB,Level_02
NRAS,HRAS,Level_02
NRAS,AFDN,Level_02
NRAS,PRKCE,Level_02
NRAS,PDGFRB,Level_02
NRAS,MAP2K2,Level_02
NRAS,MAP3K1,Level_02
NRAS,NF1,Level_02
NRAS,RALGDS,Level_02
NRAS,RGL1,Level_02
BCAS2,VTA1,Level_02
BCAS2,SNRPD1,Level_02
BCAS2,SNRPD2,Level_02
BCAS2,SF3B4,Level_02
BCAS2,HSPA8,Level_02
BCAS2,SF3A2,Level_02
BCAS2,CWC22,Level_02
BCAS2,EIF4A3,Level_02
BCAS2,CRNKL1,Level_02
BCAS2,SNRPA1,Level_02
BCAS2,MAGOH,Level_02
BCAS2,SNRPG,Level_02
BCAS2,SNRPB2,Level_02
BCAS2,PPIE,Level_02
BCAS2,DHX8,Level_02
BCAS2,CWF19L2,Level_02
BCAS2,SNRPD3,Level_02
BCAS2,SNRPB,Level_02
BCAS2,SNRPE,Level_02
BCAS2,ISY1-RAB43,Level_02
BCAS2,YJU2,Level_02
BCAS2,RBM22,Level_02
BCAS2,PPIL1,Level_02
BCAS2,ISY1,Level_02
BCAS2,CTNNBL1,Level_02
BCAS2,SRRM2,Level_02
BCAS2,SNRPF,Level_02
BCAS2,SNRNP200,Level_02
BCAS2,BUD31,Level_02
BCAS2,SYF2,Level_02
DUSP5,MAPK3,Level_02
DUSP5,MAPK9,Level_02
DUSP5,MAPK8,Level_02
SYNCRIP,CSDE1,Level_02
SYNCRIP,HNRNPU,Level_02
SYNCRIP,IGF2BP1,Level_02
SYNCRIP,HNRNPC,Level_02
SYNCRIP,DHX9,Level_02
SYNCRIP,PAIP1,Level_02
SYNCRIP,HNRNPL,Level_02
SYNCRIP,HNRNPH1,Level_02
SYNCRIP,PABPC1,Level_02
SYNCRIP,HNRNPA1,Level_02
SYNCRIP,SRSF1,Level_02
SYNCRIP,YBX1,Level_02
SYNCRIP,MRPL13,Level_02
SYNCRIP,HNRNPK,Level_02
SYNCRIP,ERI1,Level_02
SYNCRIP,HNRNPR,Level_02
SYNCRIP,HNRNPD,Level_02
UBL4A,FAF2,Level_02
PLXNA3,NRP2,Level_02
PLXNA3,SEMA6A,Level_02
PLXNA3,RAC2,Level_02
PLXNA3,RND1,Level_02
PLXNA3,RAC3,Level_02
PLXNA3,FES,Level_02
PLXNA3,SEMA3B,Level_02
PLXNA3,FYN,Level_02
WNT2B,LRP5,Level_02
WNT2B,FZD9,Level_02
WNT2B,NOTUM,Level_02
WNT2B,DKK4,Level_02
WNT2B,WIF1,Level_02
WNT2B,FZD1,Level_02
WNT2B,GPC3,Level_02
WNT2B,DKK2,Level_02
WNT2B,DKK1,Level_02
WNT2B,FZD7,Level_02
WNT2B,LRP6,Level_02
WNT2B,FZD8,Level_02
WNT2B,FZD4,Level_02
WNT2B,FZD3,Level_02
WNT2B,PORCN,Level_02
WNT2B,FZD5,Level_02
ME1,PC,Level_02
ME1,LDHD,Level_02
ME1,PDHB,Level_02
ME1,PKLR,Level_02
ME1,FH,Level_02
ME1,LDHAL6A,Level_02
ME1,CS,Level_02
ME1,PDHA2,Level_02
ME1,LDHC,Level_02
ME1,PKM,Level_02
ME1,LDHA,Level_02
ME1,LDHAL6B,Level_02
ME1,MDH2,Level_02
ATP5PB,NDUFV2,Level_02
ATP5PB,COX5A,Level_02
ATP5PB,NDUFB5,Level_02
ATP5PB,NDUFA12,Level_02
ATP5PB,ATP5MGL,Level_02
ATP5PB,UQCRB,Level_02
ATP5PB,H7C0C1_HUMAN,Level_02
ATP5PB,UQCRC2,Level_02
ATP5PB,COX4I1,Level_02
ATP5PB,UQCRFS1,Level_02
ATP5PB,ATP5MC2,Level_02
ATP5PB,DMAC2L,Level_02
ATP5PB,NDUFB6,Level_02
ATP5PB,CDCA8,Level_02
ATP5PB,ATP5MPL,Level_02
PDCD11,MRPS7,Level_02
PDCD11,FANCE,Level_02
PDCD11,DHX37,Level_02
PDCD11,URB1,Level_02
PDCD11,IMP4,Level_02
PDCD11,DDX10,Level_02
PDCD11,TSFM,Level_02
PDCD11,NOP2,Level_02
PDCD11,UTP18,Level_02
PDCD11,PWP1,Level_02
PDCD11,UTP25,Level_02
PDCD11,WDR3,Level_02
PDCD11,AATF,Level_02
PDCD11,EMG1,Level_02
PDCD11,FCF1,Level_02
PDCD11,MRPL27,Level_02
PDCD11,NOL10,Level_02
PDCD11,MRPL19,Level_02
PDCD11,MRPS10,Level_02
PDCD11,MPHOSPH10,Level_02
PDCD11,WDR43,Level_02
PDCD11,FLT3LG,Level_02
PDCD11,MRPL9,Level_02
PDCD11,RPL3,Level_02
PDCD11,NOC2L,Level_02
PDCD11,EXOSC9,Level_02
PDCD11,EXOSC10,Level_02
PDCD11,RPF2,Level_02
PDCD11,POLR3A,Level_02
PDCD11,RBM19,Level_02
PDCD11,RPS11,Level_02
PDCD11,LOC102724159,Level_02
PDCD11,UTP11,Level_02
PDCD11,CUL7,Level_02
PDCD11,MRPL24,Level_02
PDCD11,RPL3L,Level_02
PDCD11,RPS3,Level_02
PDCD11,RPS13,Level_02
PDCD11,TSR1,Level_02
PDCD11,RPLP0,Level_02
PDCD11,DNTTIP2,Level_02
PDCD11,MRPL22,Level_02
PDCD11,WDR36,Level_02
PDCD11,TBL3,Level_02
PDCD11,POLR1B,Level_02
PDCD11,DDX49,Level_02
PDCD11,BRIX1,Level_02
PDCD11,RPL17-C18orf32,Level_02
PDCD11,RPL13A,Level_02
PDCD11,RRP9,Level_02
PDCD11,MRPL20,Level_02
PDCD11,MYBBP1A,Level_02
PDCD11,UTP3,Level_02
PDCD11,RPS23,Level_02
PDCD11,MRPL1,Level_02
PDCD11,RPS9,Level_02
PDCD11,MRPS5,Level_02
PDCD11,RRP7A,Level_02
PDCD11,RCL1,Level_02
PDCD11,FTSJ3,Level_02
PDCD11,RPS15A,Level_02
PDCD11,GTPBP4,Level_02
PDCD11,NOC3L,Level_02
PDCD11,PWP2,Level_02
PDCD11,GRWD1,Level_02
PDCD11,POLR3B,Level_02
PDCD11,RPS14,Level_02
PDCD11,SNU13,Level_02
PDCD11,MRPL3,Level_02
PDCD11,NGDN,Level_02
PDCD11,RBM28,Level_02
PDCD11,FBLL1,Level_02
PDCD11,BOP1,Level_02
PDCD11,RPL5,Level_02
PDCD11,RPS16,Level_02
PDCD11,BYSL,Level_02
PDCD11,RSL1D1,Level_02
PDCD11,DDX18,Level_02
PDCD11,RPS18,Level_02
PDCD11,DDX47,Level_02
PDCD11,RPL35,Level_02
PDCD11,RPL23,Level_02
PDCD11,UTP14C,Level_02
PDCD11,MRPS16,Level_02
PDCD11,DHX15,Level_02
PDCD11,POLR1A,Level_02
PDCD11,MRPL4,Level_02
PDCD11,MRPL13,Level_02
PDCD11,MRPL2,Level_02
PDCD11,ESF1,Level_02
PDCD11,MRPS11,Level_02
